index,author,title,description,url,urlToImage,publishedAt,content,source_name,source_id
10,"Paul Bois, Paul Bois",Donald Trump Jr. Floats Breitbart News Editor in Chief Alex Marlow to Run 'MSDNC' After Elon Musk Buys It,"Breitbart News Editor-in-Chief Alex Marlow appeared on Donald Trump Jr.'s show this week where the two discussed who should take charge of MSNBC if billionaire Elon Musk were to purchase it.
The post Donald Trump Jr. Floats Breitbart News Editor in Chief Alex…",https://www.breitbart.com/the-media/2024/11/25/donald-trump-jr-suggests-alex-marlow-takeover-msnbc-elon-musk-buys/,https://media.breitbart.com/media/2024/11/donald-trump-jr-r-n-c-July2024-getty-640x335.jpg,2024-11-26T05:01:48Z,"Breitbart News Editor-in-Chief Alex Marlow appeared on Donald Trump Jr.’s show this week where the two discussed who should take charge of MSNBC if billionaire Elon Musk were to purchase it.
As Brei… [+4583 chars]",Breitbart News,breitbart-news
11,,"Donald Trump promises 25 per cent tariff on products from Canada, Mexico",U.S. president-elect Donald Trump said on Monday he would sign an executive order imposing a 25 per cent tariff on all products coming in to the United States from Mexico and Canada.,https://www.cbc.ca/news/world/trump-tariff-25-1.7393160,https://i.cbc.ca/1.7390808.1732296760!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/trump.jpg,2024-11-26T00:04:17Z,"U.S. president-elect Donald Trump said on Monday he would sign an executive order imposing a 25 per cent tariff on all products coming in to the United States from Mexico and Canada.
""On January 20t… [+397 chars]",CBC News,cbc-news
12,,"Donald Trump threatens 25% tariff on products from Canada, Mexico","Donald Trump has levelled his most severe threat against Canada in years, warning that on his very first day on office he might impose punishing economic sanctions across North America, with a 25 per cent tariff on Canada and Mexico. The announcement in a soc…",https://www.cbc.ca/news/world/trump-tariffs-25-canada-mexico-1.7393160,https://i.cbc.ca/1.7390808.1732296760!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/trump.jpg,2024-11-26T00:04:17Z,"Donald Trump has levelled his most severe threat against Canada in years, warning that on his first day on office he might impose punishing economic sanctions across North America.
The U.S. presiden… [+5040 chars]",CBC News,cbc-news
13,Ja'han Jones,Donald Trump Jr. wants to dominate your shopping cart. Here’s how.,"Donald Trump Jr. isn’t planning to officially work in his father’s administration, but he has other plans to make money off of MAGA through a new job at 1789 Capital.",https://www.msnbc.com/the-reidout/reidout-blog/donald-trump-jr-parallel-economy-maga-1789-capital-rcna181711,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-11/241125-Donald-Trump-Jr-ew-327p-f23b42.jpg",2024-11-25T21:56:33Z,"Donald Trump Jr. and his right-wing allies are making a play for your shopping cart, one MAGA-branded item at a time.
The eldest Trump son is planning to forgo a job in his fathers second administra… [+3259 chars]",MSNBC,msnbc
14,,U.S. prosecutors seek to drop charges in 2 federal cases against Donald Trump,"U.S. federal prosecutors moved Monday to dismiss the criminal charges against Donald Trump that accused him of plotting to overturn the 2020 election and to abandon the classified documents case against him, citing longstanding U.S. Justice Department policy …",https://www.cbc.ca/news/world/trump-charges-doj-prosecution-effort-abandoned-1.7392811,https://i.cbc.ca/1.7392820.1732565423!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/u-s-president-elect-donald-trump-wearing-a-make-america-great-again-hat-in-texas.jpg,2024-11-25T20:48:48Z,U.S. federal prosecutors moved Monday to dismiss the criminal charges against U.S. president-elect Donald Trump that accused him of plotting to overturn the 2020 election and to abandon the classifie… [+2892 chars],CBC News,cbc-news
15,"Hannah Knudsen, Hannah Knudsen",Poll: Plurality Say Donald Trump Will Bring Down Cost of Food and Groceries,"A plurality of Americans believe President-elect Donald Trump will bring down the cost of food and groceries, a recently released CBS/YouGov survey found.
The post Poll: Plurality Say Donald Trump Will Bring Down Cost of Food and Groceries appeared first on B…",https://www.breitbart.com/politics/2024/11/25/plurality-say-donald-trump-will-bring-down-cost-food-groceries/,https://media.breitbart.com/media/2024/11/inexpensive-turkeys-ap-640x335.jpg,2024-11-25T19:13:36Z,"A plurality of Americans believe President-elect Donald Trump will bring down the cost of food and groceries, a recently released CBS/YouGov survey found.
The survey revealed that 44 percent believe… [+2086 chars]",Breitbart News,breitbart-news
16,Paula Reid,Special counsel Jack Smith drops election subversion case against Donald Trump | CNN Politics,"Special counsel Jack Smith said Monday that he is dropping his election subversion case against President-elect Donald Trump, seeking the case’s dismissal in a court filing with the judge.",https://www.cnn.com/2024/11/25/politics/trump-special-counsel-jack-smith/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/donald-trump-jack-smith-split-110824.jpg?c=16x9&q=w_800,c_fill",2024-11-25T18:21:46Z,"Special counsel Jack Smith said Monday that he is dropping the federal election subversion case against President-elect Donald Trump, seeking the cases dismissal in a court filing with the judge.
Tr… [+3415 chars]",CNN,cnn
17,"John Kenneth White, opinion contributor",Opinion - Donald Trump won the election. Now he’s losing it.,"Trump was not hired to gut the Justice Department, abolish the FBI, pardon the Jan. 6 insurrectionists, weaken our intelligence agencies, eliminate the...",https://thehill.com/opinion/white-house/5004940-trump-overstepping-voters/,https://media.zenfs.com/en/the_hill_articles_341/04239f50b1660cbb32992947392a6013,2024-11-25T16:00:00Z,"On Nov. 5, Americans hired Donald Trump to do three things: put more money into their pockets; lower prices for gas, groceries and rent and restore order at the southern border.
Trump was not hired … [+5759 chars]",The Hill,the-hill
18,"Neil Munro, Neil Munro",Poll: Three in Four Say Donald Trump Should Prioritize Deportations,"A near-consensus 73 percent of adults -- or three in four Americans -- say President-elect Donald Trump should prioritize the repatriation of illegal migrants, according to a CBS News poll conducted by YouGov.
The post Poll: Three in Four Say Donald Trump Sho…",https://www.breitbart.com/immigration/2024/11/25/poll-3-in-4-americans-want-trump-to-prioritize-migrant-repatriations/,https://media.breitbart.com/media/2024/11/deportation-640x335.jpg,2024-11-25T08:39:28Z,"A near-consensus 73 percent of adults — or three in four Americans — say President-elect Donald Trump should prioritize the repatriation of illegal migrants, according to a CBS News poll conducted by… [+2336 chars]",Breitbart News,breitbart-news
19,Wes Davis,Tech CEOs want to replicate Tim Cook’s Donald Trump playbook,Company leaders are looking to recreate the sort of relationship Tim Cook has forged with Donald Trump as he begins his second Presidential term.,https://www.theverge.com/2024/11/24/24304771/tim-cook-trump-relationship-playbook-tech-leaders,https://cdn.vox-cdn.com/thumbor/QHSszXsCI6zq2yQ_CAxnxLP-hEQ=/0x0:5568x3712/1200x628/filters:focal(2784x1856:2785x1857)/cdn.vox-cdn.com/uploads/chorus_asset/file/25752946/1183652392.jpg,2024-11-24T21:18:07Z,"Tech CEOs want to replicate Tim Cooks Donald Trump playbook
Tech CEOs want to replicate Tim Cooks Donald Trump playbook
 / Cook used dinner and stuck to one topic at a time to get concessions durin… [+2105 chars]",The Verge,the-verge
20,"Sean Moran, Sean Moran","Donald Trump Picks Anti-Lockdown, Vaccine Skeptic Healthcare Nominees","President-elect Donald Trump nominated many leading healthcare experts who opposed coronavirus-era lockdowns, focused on ending chronic illness, and want to overhaul America's healthcare bureaucracies.
The post Donald Trump Picks Anti-Lockdown, Vaccine Skepti…",https://www.breitbart.com/politics/2024/11/23/donald-trump-picks-anti-lockdown-vaccine-skeptic-healthcare-nominees/,https://media.breitbart.com/media/2024/11/Donald-Trump-closeup-pointing-getty-640x335.jpg,2024-11-23T20:08:50Z,"President-elect Donald Trump nominated many leading healthcare experts who opposed coronavirus-era lockdowns, focused on ending chronic illness, and want to overhaul America’s healthcare bureaucracie… [+8461 chars]",Breitbart News,breitbart-news
21,Juliana Liu,China is armed and ready for trade war 2.0 with Donald Trump,"In the summer of 2018, when former President Donald Trump launched a trade war with Beijing, the Chinese economy was gaining on the United States, and popular opinion suggested it could soon become the world’s largest. Now, with Trump months away from retakin…",https://www.cnn.com/2024/11/22/business/china-is-armed-and-ready-for-trade-war-2-0-with-donald-trump/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2181521490.jpg?c=16x9&q=w_800,c_fill",2024-11-23T00:54:44Z,"Editors Note: Sign up for CNNs Meanwhile in China newsletter which explores what you need to know about the countrys rise and how it impacts the world.
In the summer of 2018, when former President D… [+7206 chars]",CNN,cnn
22,"Rebecca Mansour, Rebecca Mansour",Donald Trump Nominates Investor Scott Bessent for Treasury Secretary,"President-elect Donald Trump announced his nomination of Scott Bessent, a prominent investor and CEO of Key Square Capital Management, for Treasury Secretary.
The post Donald Trump Nominates Investor Scott Bessent for Treasury Secretary appeared first on Brei…",https://www.breitbart.com/economy/2024/11/22/donald-trump-nominates-investor-scott-bessent-for-treasury-secretary/,https://media.breitbart.com/media/2024/11/scott-bessent-getty-1-640x335.png,2024-11-23T00:27:39Z,"President-elect Donald Trump announced his nomination of Scott Bessent, a prominent investor and CEO of Key Square Capital Management, for Treasury Secretary.
“I am most pleased to nominate Scott Be… [+2860 chars]",Breitbart News,breitbart-news
