index,author,title,description,url,urlToImage,publishedAt,content,source_name,source_id
0,"Hannah Knudsen, Hannah Knudsen",Poll: Independents Tipped for Donald Trump over Kamala Harris,"Independents tipped for President-elect Donald Trump over Vice President Kamala Harris in the 2024 presidential election, according to the latest Harvard-Harris Poll.
The post Poll: Independents Tipped for Donald Trump over Kamala Harris appeared first on Bre…",https://www.breitbart.com/politics/2024/11/21/poll-independents-tipped-for-donald-trump-over-kamala-harris/,https://media.breitbart.com/media/2024/10/kamala-harris-donald-trump-3-flickr-640x335.png,2024-11-21T19:22:58Z,"Independents tipped for President-elect Donald Trump over Vice President Kamala Harris in the 2024 presidential election, according to the latest Harvard-Harris Poll.
The post-election survey, which… [+2287 chars]",Breitbart News,breitbart-news
1,"bsaacks@businessinsider.com (Bradley Saacks,Michelle Abrego)","Billionaire Citadel founder Ken Griffin's advice for Donald Trump: Don't cut taxes, let ambitious immigrants into the US, and hire Apollo CEO Marc Rowan",Republican mega-donor Ken Griffin expressed his concerns about incoming President-elect Donald Trump's policies.,https://www.businessinsider.com/ken-griffin-advice-trump-treasury-secretary-tax-cuts-policies-2024-11,https://i.insider.com/673f802aede4eeae3928d70c?width=1200&format=jpeg,2024-11-21T18:49:22Z,Billionaire Citadel founder Ken Griffin is one of the biggest donors to the Republican Party but has some worries about the effect of potential policies promised by the incoming administration of Pre… [+3523 chars],Business Insider,business-insider
2,"Wendell Husebo, Wendell Husebo",Donald Trump Thanks Matt Gaetz for His Efforts After Withdrawing from AG Consideration,"President-elect Donald Trump thanked Matt Gaetz and wished him well after he withdrew from seeking approval to be attorney general.
The post Donald Trump Thanks Matt Gaetz for His Efforts After Withdrawing from AG Consideration  appeared first on Breitbart.",https://www.breitbart.com/2024-election/2024/11/21/donald-trump-thanks-matt-gaetz-for-his-efforts-after-withdrawing-from-ag-consideration/,https://media.breitbart.com/media/2024/11/GettyImages-2161853523-640x335.jpg,2024-11-21T18:30:38Z,"President-elect Donald Trump thanked Matt Gaetz and wished him well after he withdrew from seeking senate approval to be attorney general.
“I greatly appreciate the recent efforts of Matt Gaetz in s… [+1741 chars]",Breitbart News,breitbart-news
3,Pete Syme,It looks like Donald Trump will get to fly on his cut-price Air Force One after all,"Donald Trump renegotiated a deal with Boeing and designed his own Air Force One livery in his first term, but the new 747-8s are still being modified.",https://www.businessinsider.com/donald-trump-boeing-new-air-force-one-747-vc-25b-2024-11,https://i.insider.com/673dfaa2192f5258985990bf?width=1200&format=jpeg,2024-11-21T13:35:16Z,"Donald Trump renegotiated the Next Air Force One deal with Boeing's CEO during his first presidency.Alex Wong/Getty Images
<ul><li>Donald Trump renegotiated a deal with Boeing for a new Air Force On… [+4487 chars]",Business Insider,business-insider
4,Fox News Staff,"SEAN HANNITY: Life, liberty and the pursuit of happiness will be restored under Donald Trump","Fox News host Sean Hannity says President-elect Donald Trump will restore America's core principles on ""Hannity.""",https://www.foxnews.com/media/sean-hannity-life-liberty-pursuit-happiness-restored-under-donald-trump,https://static.foxnews.com/foxnews.com/content/uploads/2024/05/Sean-Hannity-Michael-Cohen-crumbled-under-cross-examination.jpg,2024-11-21T02:51:21Z,"Fox News host Sean Hannity reveals how President-elect Trump will turn America around on ""Hannity
."" 
SEAN HANNITY: Under Donald Trump
, America's core principles of life, liberty, the pursuit of … [+944 chars]",Fox News,fox-news
5,phaasch@businessinsider.com (Palmer Haasch),No one would talk to Sebastian Stan about his Donald Trump movie for 'Actors on Actors': 'They were too afraid',"Sebastian Stan plays Donald Trump in the biopic ""The Apprentice."" He said other actors' teams wouldn't let them talk about the film with him.",https://www.businessinsider.com/sebastian-stan-variety-actors-on-actors-donald-trump-the-apprentice-2024-11,https://i.insider.com/673e601b9f2901eb60360e11?width=1200&format=jpeg,2024-11-21T02:35:08Z,"You won't see Sebastian Stan doing an ""Actors on Actors"" interview about his new Donald Trump movie ""The Apprentice,"" because, according to the actor, no one would talk to him about it.
Stan plays T… [+2734 chars]",Business Insider,business-insider
6,"Kristina Wong, Kristina Wong",President-Elect Donald Trump Names Former Acting Attorney General Matthew Whitaker U.S. Ambassador to NATO,"President-Elect Donald Trump has named former acting Attorney General Matthew G. Whitaker the next United States Ambassador to NATO.
The post President-Elect Donald Trump Names Former Acting Attorney General Matthew Whitaker U.S. Ambassador to NATO appeared f…",https://www.breitbart.com/politics/2024/11/20/president-elect-donald-trump-names-former-acting-attorney-general-matthew-whitaker-u-s-ambassador-nato/,https://media.breitbart.com/media/2024/11/Matthew-Whitaker-640x335.jpg,2024-11-20T18:19:54Z,"President-elect Donald Trump on Wednesday named former acting Attorney General Matthew G. Whitaker as the next United States Ambassador to the North Atlantic Treaty Organization (NATO).
“I am please… [+1665 chars]",Breitbart News,breitbart-news
7,"Kurt Zindulka, Kurt Zindulka","Half of Young Men in Britain Would Vote for Donald Trump, Survey Finds","Britain appears ripe for a Trumpian-style political revolution, with half of young men in the country saying they would vote for the American leader if given the opportunity
The post Half of Young Men in Britain Would Vote for Donald Trump, Survey Finds appea…",https://www.breitbart.com/europe/2024/11/20/half-of-young-men-in-britain-would-vote-for-donald-trump-survey-finds/,https://media.breitbart.com/media/2024/11/GettyImages-1252533645-2-640x335.jpg,2024-11-20T15:59:03Z,"Britain appears ripe for a Trumpian-style political revolution, with half of young men in the country saying they would vote for the American leader if given the opportunity.
A survey published by J… [+3396 chars]",Breitbart News,breitbart-news
8,,Donald Trump nominates Linda McMahon for U.S. education secretary,U.S. president-elect Donald Trump says he will nominate pro wrestling billionaire Linda McMahon to be his education secretary.,https://www.cbc.ca/news/world/linda-mcmahon-trump-education-secretary-nomination-1.7387900,https://i.cbc.ca/1.7387912.1732056667!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/linda-mcmahon-speaking-at-the-milwaukee-hosted-republican-national-convention.jpg,2024-11-20T02:15:07Z,"U.S. president-elect Donald Trump is nominating the billionaire professional wrestling mogul Linda McMahon to be secretary of the Education Department, tasked with overseeing an agency Trump has prom… [+505 chars]",CBC News,cbc-news
9,,Elon Musk launches Starship test flight with Donald Trump watching,"Elon Musk's SpaceX launched its sixth Starship test flight to space on Tuesday from Texas, eyeing an array of improvements on the rocket as U.S. president-elect Donald Trump watched in person.",https://www.cbc.ca/news/world/elon-musk-starship-trump-1.7387893,https://i.cbc.ca/1.7387942.1732057867!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/usa-trump.JPG,2024-11-19T23:26:05Z,"Elon Musk's SpaceX launched its sixth Starship test flight to space on Tuesday from Texas, eyeing an array of improvements on the rocket as U.S. president-elect Donald Trump watched in person.
The r… [+5877 chars]",CBC News,cbc-news
