index,author,title,description,url,urlToImage,publishedAt,content,source_name,source_id
0,Chris Pandolfo,Donald Trump Jr ally Sergio Gor offered top White House personnel job: report,"Sergio Gor, an associate of Donald Trump Jr., reportedly is President-elect Trump's choice to head up the Presidential Personnel Office.",https://www.foxnews.com/politics/donald-trump-jr-ally-offered-top-white-house-personnel-job,https://static.foxnews.com/foxnews.com/content/uploads/2024/11/sergio-gor.jpg,2024-11-14T19:44:23Z,"One of Donald Trump Jr.'s allies and business partners has reportedly been offered a key position in his father's second term in the White House.
Sergio Gor is expected to lead the Presidential Pers… [+2389 chars]",Fox News,fox-news
1,"Simon Kent, Simon Kent",London Mayor Sadiq Khan Accuses Donald Trump of Personally Attacking Him,"Far-left Mayor of London Sadiq Khan has accused Donald Trump of personally attacking him because of his “ethnicity” and Muslim faith, in comments likely to reignite the Labour politician's long-running and very public antipathy towards the U.S. president-elec…",https://www.breitbart.com/europe/2024/11/14/london-mayor-sadiq-khan-accuses-donald-trump-of-personally-attacking-him/,https://media.breitbart.com/media/2024/11/khan-trump-640x335.jpg,2024-11-14T12:32:56Z,"Far-left Mayor of London Sadiq Khan has accused Donald Trump of personally attacking him because of his ethnicity and Muslim faith, in comments likely to reignite the Labour politician’s long-running… [+2913 chars]",Breitbart News,breitbart-news
2,"Hannah Knudsen, Hannah Knudsen",Donald Trump Makes White House Senior Staff Announcements: 'Best in Class',"President-elect Donald Trump announced members of his White House senior staff on Wednesday.
The post Donald Trump Makes White House Senior Staff Announcements: ‘Best in Class’ appeared first on Breitbart.",https://www.breitbart.com/politics/2024/11/13/donald-trump-makes-white-house-senior-staff-announcements-best-class/,https://media.breitbart.com/media/2024/11/Donald-Trump-phone-Air-Force-One-flickr-640x335.jpg,2024-11-13T19:15:56Z,"President-elect Donald Trump announced on Wednesday members of his White House senior staff for his upcoming administration.
According to the formal press release, Trump chose these top advisers fro… [+1905 chars]",Breitbart News,breitbart-news
3,pkafka@insider.com (Peter Kafka),Did you need another reminder that Donald Trump watches TV? Here you go.,Twitter - and Elon Musk — are important for Trump 2.0. But Trump has always been a TV person and that's not going to change.,https://www.businessinsider.com/pete-hegseth-trump-fox-twitter-elon-musk-influence-2024-11,https://i.insider.com/6734e38a192f525898582dbc?width=1200&format=jpeg,2024-11-13T17:49:21Z,"Earlier this week, I wondered how much Twitter was going to influence the next Trump administration and how much influence we'd see from TV, which was tremendously important the first time around.
H… [+3102 chars]",Business Insider,business-insider
4,"Nick Gilbertson, Nick Gilbertson",Donald Trump Meets with House Republicans on Capitol Hill as President-Elect: 'Isn't It Nice to Win?',"President-elect Donald Trump met with House Republicans on Capitol Hill Wednesday morning to start a busy day in D.C.
The post Donald Trump Meets with House Republicans on Capitol Hill as President-Elect: ‘Isn’t It Nice to Win?’ appeared first on Breitbart.",https://www.breitbart.com/2024-election/2024/11/13/donald-trump-meets-house-republicans-capitol-hill-as-president-elect-isnt-it-nice-win/,https://media.breitbart.com/media/2024/11/Donald-Trump-4-640x335.jpg,2024-11-13T17:23:37Z,"WASHINGTON, DCPresident-elect Donald Trump met with House Republicans on Capitol Hill Wednesday morning to start a busy day in D.C.
The meeting came ahead of Trump’s visit with President Joe Biden a… [+1633 chars]",Breitbart News,breitbart-news
5,"Wendell Husebo, Wendell Husebo","Joe Biden Welcomes Donald Trump Back to White House, Congratulates Him on Victory","President Joe Biden welcomed President-elect Donald Trump back to the White House on Wednesday and congratulated him on his landslide victory. 
The post Joe Biden Welcomes Donald Trump Back to White House, Congratulates Him on Victory appeared first on Breitb…",https://www.breitbart.com/2024-election/2024/11/13/joe-biden-welcomes-donald-trump-back-to-white-house-congratulates-him-on-victory/,https://media.breitbart.com/media/2024/11/white-house-meeting-begins.jpg,2024-11-13T17:09:10Z,"President Joe Biden welcomed President-Elect Donald Trump back to the White House on Wednesday and congratulated him on his landslide victory.
Trump’s historic appearance at the White House was his … [+1130 chars]",Breitbart News,breitbart-news
6,Fox News Staff,"Fox News AI Newsletter: AI developers discover 'Donald Trump neuron', expert says",Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,https://www.foxnews.com/tech/ai-developers-discover-donald-trump-neuron-expert-says,https://static.foxnews.com/foxnews.com/content/uploads/2024/11/artificial-intelligence-trump-2.jpg,2024-11-13T16:56:33Z,"Welcome to Fox News Artificial Intelligence newsletter with the latest AI technology advancements.
IN TODAYS NEWSLETTER:
- AI developers discover 'Donald Trump neuron', expert says
- Petition call… [+1662 chars]",Fox News,fox-news
7,Jordan Rubin,Jack Smith plans to step down before Donald Trump takes office,"Trump has said he would fire the special counsel within ""two seconds."" The Republican's presidential victory means his federal criminal cases will vanish.",https://www.msnbc.com/deadline-white-house/deadline-legal-blog/jack-smith-step-down-trump-election-rcna179930,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-03/240314-Jack-Smith-ch-0906-478fdc.jpg",2024-11-13T13:02:37Z,"Special counsel Jack Smith and his team plan to resign before President-elect Donald Trump takes office, NBC News reported, citing a source familiar with the matter.
The New York Times, citing peopl… [+2209 chars]",MSNBC,msnbc
8,Simon Samano,Will Donald Trump attend UFC 309? Fighters expect President-elect to be there,"It's become a sort of tradition for Donald Trump to attend the biggest of UFC events, but will that be the case for UFC 309?",https://mmajunkie.usatoday.com/2024/11/donald-trump-ufc-309-attendance,https://mmajunkie.usatoday.com/wp-content/uploads/sites/91/2021/07/donald-trump-ufc-264-1.jpg?w=1024&h=576&crop=1,2024-11-13T12:00:55Z,"It’s become a sort of tradition for Donald Trump to attend the biggest of UFC events. Will that be the case for UFC 309?
Combat sports events don’t get much bigger than when they take place at Madis… [+2811 chars]",USA Today,usa-today
9,John Herrman,Will Donald Trump Save TikTok?,"Donald Trump has had a self-serving change of heart about TikTok, and the app’s best chance of survival is now the man who once tried to ban it.",http://nymag.com/intelligencer/article/tiktoks-survival-depends-donald-trump.html,https://pyxis.nymag.com/v1/imgs/3bb/92b/3e092f0122f3a6791d83756baa09bbc7ef-tiktok-capitol.1x.rsocial.w1200.jpg,2024-11-13T11:00:51Z,"Donald Trump has made plenty of promises and threats about what might happen when he returns to office in January, most of which are continuations  and intensifications of the policies he pursued las… [+8716 chars]",New York Magazine,new-york-magazine
